time,power,energy
4.320796,1e-06,0.0
4.320797,0.27954405546188354,1.000000000139778e-12
4.351774,1e-06,0.008659436207042777
4.351775,0.07213182002305984,0.008659436208042777
4.382851,0.0,0.010901004647079361
7.28994,1e-06,0.010901004647079361
7.289941,0.27954405546188354,0.010901004648079362
7.320918,1e-06,0.01956044085412214
7.320919,0.07213182002305984,0.019560440855122138
7.351995,0.0,0.021802009294158722
10.122455,1e-06,0.021802009294158722
10.122456,0.27954405546188354,0.02180200929515872
10.153433,1e-06,0.030461445501201497
10.153433999999999,0.07213182002305984,0.030461445502201496
10.18451,0.0,0.032703013941238146
12.952205999999999,1e-06,0.032703013941238146
12.952207,0.27954405546188354,0.032703013942238145
12.983184,1e-06,0.041362450148280924
12.983184999999999,0.07213182002305984,0.04136245014928092
13.014261,0.0,0.04360401858831757
