time,power,energy
3.154606,1e-06,0.0
3.154607,0.27954405546188354,1.000000000139778e-12
3.185583,1e-06,0.008659156662987276
3.185584,0.07213182002305984,0.008659156663987276
3.5856839999999996,0.0,0.0375190978552135
4.585744,1e-06,0.0375190978552135
4.585745,0.27954405546188354,0.0375190978562135
4.616722,1e-06,0.04617853406225628
4.6167229999999995,0.07213182002305984,0.046178534063256275
5.016823,0.0,0.07503847525448253
7.188128,1e-06,0.07503847525448253
7.188129,0.27954405546188354,0.07503847525548253
7.219106,1e-06,0.0836979114615253
7.219106999999999,0.07213182002305984,0.08369791146252531
7.250183,0.0,0.08593947990156196
8.255873,1e-06,0.08593947990156196
8.255874,0.27954405546188354,0.08593947990256197
8.286851,1e-06,0.09459891610860474
8.286852,0.07213182002305984,0.09459891610960475
8.317928,0.0,0.0968404845486414
9.375077,1e-06,0.0968404845486414
9.375078,0.27954405546188354,0.0968404845496414
9.406055,1e-06,0.10549992075568418
9.406056,0.07213182002305984,0.10549992075668418
9.437132,0.0,0.10774148919572084
12.327619,1e-06,0.10774148919572084
12.32762,0.27954405546188354,0.10774148919672084
12.358597,1e-06,0.11640092540276362
12.358597999999999,0.07213182002305984,0.11640092540376362
12.389674,0.0,0.11864249384280028
