id,radio_id,start_time,airtime,location.x,location.y,tx_power,code_rate,spreading_factor,bandwidth,crc_enabled,preamble_len,fixed_len,iq_inverted,symbols,payload
33,1,17000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
34,2,17000.079999999998,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
35,1,18000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
36,2,18000.079999999998,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
37,1,19000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
38,2,19000.079999999998,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
39,1,20000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
40,2,20000.079999999998,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
41,1,21000.0,0.076032,0.0,0.0,8,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
42,2,21000.079999999998,0.076032,0.0,0.0,20,4,7,0,True,14,False,False,0,b'\x00\x01\x02\x03\x04\x05\x06\x07\x08\t\n\x0b\x0c\r\x0e\x0f\x10'
